codigo,Anho,Clasificacion,Empresa,Ingresos
65,1955,65,Briggs Manufacturing,440.9
66,1955,66,Sperry,440.9
67,1955,67,Nabisco Group Holdings,438.3
68,1955,68,PPG Industries,431.0
69,1955,69,Dow Chemical,428.3
70,1955,70,Youngstown Sheet & Tube,428.2
71,1955,71,Kennecott,423.6
72,1955,72,NL Industries,419.3
73,1955,73,Standard Brands,415.9
74,1955,74,Sealed Air,413.4
75,1955,75,Caterpillar,401.0
76,1955,76,American Motors,400.3
77,1955,77,Ralston Purina,399.6
78,1955,78,American Cyanamid,397.6
79,1955,79,Pullman,391.0
80,1955,80,Pure Oil,388.3
81,1955,81,BorgWarner,380.3
82,1955,82,Nabisco Brands,376.4
83,1955,83,Avco,375.4
84,1955,84,Unocal,349.7
85,1955,85,Philco,349.3
86,1955,86,Burlington Industries Equity,347.5
87,1955,87,Monsanto,341.8
88,1955,88,Campbell Soup,338.7
89,1955,89,Owens-Illinois,336.7
90,1955,90,Pillsbury,336.0
91,1955,91,Singer,333.9
92,1955,92,Hormel Foods,331.8
93,1955,93,Hygrade Food Products,324.2
94,1955,94,Republic Aviation,323.5
95,1955,95,Carnation,310.0
96,1955,96,Amstar,308.8
97,1955,97,Reynolds Metals,306.8
98,1955,98,Morrell (John),306.5
99,1955,99,BP America,304.4
100,1955,100,American Standard,303.4
101,1955,101,United Merchants & Mfrs.,300.1
102,1955,102,Crane,299.8
103,1955,103,Crown Zellerbach,298.0
104,1955,104,Deere,295.6
105,1955,105,Liggett Group,294.1
106,1955,106,Sylvania Electric Products,281.6
107,1955,107,J.P. Stevens,277.6
108,1955,108,Phelps Dodge,277.1
109,1955,109,Beatrice,275.0
110,1955,110,Rath Packing,273.6
111,1955,111,Martin Marietta,270.7
112,1955,112,TRW,269.0
113,1955,113,Quaker Oats,266.1
114,1955,114,Weyerhaeuser,262.5
115,1955,115,Colgate-Palmolive,261.8
116,1955,116,NCR,259.1
117,1955,117,Manville,253.2
118,1955,118,Babcock & Wilcox,250.5
119,1955,119,CF&I Steel,250.2
120,1955,120,A.O. Smith,249.6
121,1955,121,Marathon Oil,248.5
122,1955,122,Foremost Dairies,247.4
123,1955,123,Furniture Brands Intl.,246.8
124,1955,124,ACF Industries,245.1
125,1955,125,Otis Elevator,244.0
126,1955,126,Coca-Cola,243.3
127,1955,127,Rockwell-Standard,241.8
128,1955,128,J.E. Seagram,236.3
129,1955,129,Grumman,235.3
130,1955,130,National Supply,231.7
131,1955,131,3M,230.9
132,1955,132,Honeywell,229.4
133,1955,133,Scott Paper,228.8
134,1955,134,Ashland,227.9
135,1955,135,Del Monte Foods,226.9
136,1955,136,Kaisertech,226.6
137,1955,137,Remington Rand,225.5
138,1955,138,FMC,225.3
139,1955,139,Oscar Mayer,224.4
140,1955,140,Richfield Oil,222.8
141,1955,141,Studebaker,222.3
142,1955,142,H.J. Heinz,220.6
143,1955,143,Admiral,219.6
144,1955,144,Armstrong Holdings,217.6
145,1955,145,American Viscose,217.2
146,1955,146,USG,217.0
147,1955,147,GenCorp,217.0
148,1955,148,Anheuser-Busch,215.9
149,1955,149,McNeill & Libby,215.4
150,1955,150,Continental Baking,212.5
151,1955,151,Kaiser Industries,212.4
152,1955,152,Aeroquip-Vickers,212.3
153,1955,153,Skelly Oil,211.1
154,1955,154,Glidden,209.1
155,1955,155,Archer Daniels Midland,207.7
156,1955,156,Motorola,205.2
157,1955,157,Wyeth,203.1
158,1955,158,International Packers,202.5
159,1955,159,Johnson & Johnson,200.9
160,1955,160,Quantum Chemical,200.1
161,1955,161,St. Regis,200.1
162,1955,162,Electric Autolite,198.5
163,1955,163,Arden Farms,195.1
164,1955,164,Bestfoods,194.7
165,1955,165,Revere Copper & Brass,193.3
166,1955,166,Hearst Consolidated Publications,190.9
167,1955,167,Wheeling Pittsburgh,187.6
168,1955,168,Koppers,187.6
169,1955,169,Hercules,187.5
170,1955,170,Alco Products,187.2
171,1955,171,Container Corp. of America,186.6
172,1955,172,M. Lowenstein,186.0
173,1955,173,Bell Intercontinental,185.6
174,1955,174,Continental Motors,182.1
175,1955,175,Cannon Mills,180.2
176,1955,176,Pet,178.2
177,1955,177,Kimberly-Clark,177.3
178,1955,178,Raytheon,177.1
179,1955,179,Dart Industries,176.1
180,1955,180,Wesson Oil & Snowdrift,175.5
181,1955,181,Curtis Publishing,173.4
182,1955,182,Schenley Industries,172.0
183,1955,183,Northrop Grumman,171.4
184,1955,184,Allegheny International,169.6
185,1955,185,Whirlpool,169.5
186,1955,186,Kellogg,169.5
187,1955,187,Unisys,169.1
188,1955,188,Walter Industries,167.2
189,1955,189,Eaton,165.2
190,1955,190,Westvaco,164.8
191,1955,191,Sterling Drug,164.3
192,1955,192,Mid-Continent Petroleum,164.2
193,1955,193,Rheem Manufacturing,163.6
194,1955,194,Gillette,162.2
195,1955,195,Crucible Steel,160.6
196,1955,196,Brink's,159.7
197,1955,197,Hershey Foods,159.4
198,1955,198,General American Transportation,156.2
199,1955,199,Baldwin-Lima-Hamilton,155.2
200,1955,200,Dana,153.5
201,1955,201,Central Soya,153.1
202,1955,202,Carrier,151.4
203,1955,203,Grinnell,150.9
204,1955,204,Combustion Engineering,150.5
205,1955,205,Genesco,150.1
206,1955,206,Chance Vought,149.6
207,1955,207,Newport News Shipbuilding,149.5
208,1955,208,Consolidation Coal,149.2
209,1955,209,Corning,147.9
210,1955,210,Celanese,147.6
211,1955,211,Fruehauf,146.3
212,1955,212,Merck,145.5
213,1955,213,White Motor,145.5
214,1955,214,International Cellucotton Products,145.4
215,1955,215,Pfizer,145.2
216,1955,216,Pabst Brewing,145.0
217,1955,217,Staley Continental,144.9
218,1955,218,Altria Group,142.8
219,1955,219,National Sugar Refining,140.7
220,1955,220,Cone Mills,140.7
221,1955,221,Fairchild Engine & Airplane,140.4
222,1955,222,Simmons,139.1
223,1955,223,Brown Shoe,138.9
224,1955,224,Zenith Electronics,138.6
225,1955,225,Foster Wheeler,138.6
226,1955,226,Studebaker-Worthington,138.3
227,1955,227,Owens Corning,136.5
228,1955,228,Timken,135.6
229,1955,229,Norton,135.0
230,1955,230,American Bakeries,134.8
231,1955,231,Campbell Taggart,133.9
232,1955,232,Endicott Johnson,133.3
233,1955,233,McGraw-Edison,132.8
234,1955,234,Rohm & Haas,132.6
235,1955,235,Lorillard,131.5
236,1955,236,Ingersoll-Rand,130.3
237,1955,237,Dresser Industries,130.2
238,1955,238,Kaiser Steel,128.5
239,1955,239,Cletrac,128.3
240,1955,240,Champion Papers,128.0
241,1955,241,National Gypsum,126.6
242,1955,242,AMF,126.5
243,1955,243,Clinton Foods,125.7
244,1955,244,Sunray Oil,125.2
245,1955,245,Eastern Gas & Fuel Associates,124.6
246,1955,246,Champion International,124.1
247,1955,247,Pittsburgh Steel,124.0
248,1955,248,Tecumseh Products,124.0
249,1955,249,Kelsey-Hayes,123.8
250,1955,250,General Precision Equipment,123.3
251,1955,251,BOC,123.3
252,1955,252,McDonnell Douglas,123.1
253,1955,253,Eli Lilly,122.3
254,1955,254,General Host,122.1
255,1955,255,Stokely-Van Camp,121.7
256,1955,256,Westinghouse Air Brake,121.5
257,1955,257,American-Marietta,120.7
258,1955,258,Mack Trucks,120.3
259,1955,259,Sunshine Biscuits,119.2
260,1955,260,Marathon,117.8
261,1955,261,Keebler,117.2
262,1955,262,Gair (Robert),116.4
263,1955,263,Bemis,115.8
264,1955,264,Seeger Refrigerator,112.6
265,1955,265,Murray Corp.,112.5
266,1955,266,Warren Petroleum,112.4
267,1955,267,Mead,111.8
268,1955,268,Crown Holdings,111.4
269,1955,269,Link-Belt,111.2
270,1955,270,Scovill,111.0
271,1955,271,Cincinnati Milacron,110.5
272,1955,272,Parke & Davis,109.9
273,1955,273,Abex,109.9
274,1955,274,Budd,109.5
275,1955,275,Anaconda Wire & Cable,108.7
276,1955,276,Fairbanks & Morse,108.0
277,1955,277,CVS,107.9
278,1955,278,Allied Mills,106.7
279,1955,279,Bridgeport Brass,106.0
280,1955,280,Spencer Kellogg & Sons,105.7
281,1955,281,Union Camp,105.5
282,1955,282,GAF,105.0
283,1955,283,Fairmont Foods,104.6
284,1955,284,WestPoint Stevens,104.5
285,1955,285,Colorado Milling & Elevator,104.1
286,1955,286,Anchor Hocking,103.7
287,1955,287,Rohr,101.6
288,1955,288,Garrett,101.2
289,1955,289,Blaw-Knox,101.1
290,1955,290,Diamond International,100.8
291,1955,291,Schlitz Brewing,100.0
292,1955,292,Textron,99.7
293,1955,293,Lion Oil,98.6
294,1955,294,Sharon Steel,98.2
295,1955,295,Pacific Vegetable Oil,97.9
296,1955,296,GK Technologies,97.4
297,1955,297,Liebmann Breweries,96.0
298,1955,298,Ward Foods,95.2
299,1955,299,St. Joseph Lead,95.0
300,1955,300,Flintkote,94.8
301,1955,301,Interstate Brands,94.2
302,1955,302,Imcera Group,93.6
303,1955,303,Maxus Energy,93.5
304,1955,304,Chemetron,93.4
305,1955,305,York International,93.3
306,1955,306,Kendall,93.2
307,1955,307,Squibb,93.0
308,1955,308,Stewart-Warner,92.9
309,1955,309,Case,92.4
310,1955,310,Ex-Cell-O,92.3
311,1955,311,Du Mont (Allen B.) Labs.,91.9
312,1955,312,U.S. Pipe & Foundry,91.5
313,1955,313,Fibreboard,91.5
314,1955,314,Clark Equipment,91.1
315,1955,315,Plymouth Oil,90.9
316,1955,316,Collins Radio,90.3
317,1955,317,Sunbeam/Oster,90.1
318,1955,318,Inmont,89.8
319,1955,319,Amsted Industries,89.0
320,1955,320,Abbott Laboratories,88.1
321,1955,321,Yale & Towne Manufacturing,87.9
322,1955,322,Servel,87.8
323,1955,323,Long-Bell Lumber Co.,87.7
324,1955,324,Motor Products,87.0
325,1955,325,ITT Rayonier,86.9
326,1955,326,Best Foods,86.9
327,1955,327,Gaylord Container,86.5
328,1955,328,Virginia-Carolina Chemical,85.4
329,1955,329,Beaunit,85.3
330,1955,330,Pepperell Manufacturing,85.3
331,1955,331,Amerada Hess,85.0
332,1955,332,Texasgulf,84.6
333,1955,333,Lone Star Industries,84.4
334,1955,334,Royal McBee,84.4
335,1955,335,Eagle-Picher Industries,83.2
336,1955,336,Wm. Wrigley Jr.,82.6
337,1955,337,Stauffer Chemical,82.6
338,1955,338,Wagner Electric,82.2
339,1955,339,Marshall-Wells,81.9
340,1955,340,Dan River,81.8
341,1955,341,Keystone Consolidated Industries,81.1
342,1955,342,Maytag,81.1
343,1955,343,City Products,80.8
344,1955,344,Thomas J. Lipton,80.8
345,1955,345,Emerson Radio & Phonograph,80.6
346,1955,346,Cluett Peabody,80.4
347,1955,347,Hazel-Atlas Glass,79.2
348,1955,348,Gerber Products,78.9
349,1955,349,Great Western Sugar,78.5
350,1955,350,Tobin Packing,78.5
351,1955,351,Beech Aircraft,78.0
352,1955,352,ESB,77.7
353,1955,353,Minneapolis-Moline,77.4
354,1955,354,Rockwell Manufacturing,76.5
355,1955,355,Ruberoid,76.4
356,1955,356,Paccar,76.4
357,1955,357,Butler Manufacturing,76.2
358,1955,358,Superior Oil,76.1
359,1955,359,Olivetti Underwood,76.0
360,1955,360,Certainteed,75.8
361,1955,361,National Container,75.6
362,1955,362,Lukens Steel,75.0
363,1955,363,American Bosch Arma,74.4
364,1955,364,PepsiCo,74.2
365,1955,365,Stanley Works,73.8
366,1955,366,New York Shipbuilding,73.8
367,1955,367,Glen Alden,73.5
368,1955,368,Outboard Marine,73.4
369,1955,369,Hines (Edward) Lumber,73.3
370,1955,370,Shoe Corp. of America,73.2
371,1955,371,Standard Coil Products,72.9
372,1955,372,Norris-Thermador,72.6
373,1955,373,American Chain & Cable,72.2
374,1955,374,Carborundum,71.9
375,1955,375,Interlake,71.8
376,1955,376,Riegel Textile,71.0
377,1955,377,Todd Shipyards,70.4
378,1955,378,Cleveland-Cliffs,70.4
379,1955,379,Minnesota & Ontario Paper,70.1
380,1955,380,McGraw-Hill,70.0
381,1955,381,Pocahontas Fuel,69.5
382,1955,382,Granite City Steel,69.3
383,1955,383,Remington Arms,69.0
384,1955,384,Bigelow-Sanford,68.2
385,1955,385,H.K. Porter,68.1
386,1955,386,Bliss (E.W.),68.0
387,1955,387,Falstaff Brewing,67.8
388,1955,388,I-T-E Imperial,67.7
389,1955,389,Canada Dry,67.4
390,1955,390,American Optical,67.3
391,1955,391,American Agricultural Chemical,67.2
392,1955,392,Brown Co.,67.0
393,1955,393,Raybestos-Manhattan,66.8
394,1955,394,Norton Simon,66.7
395,1955,395,Hartmarx,66.6
396,1955,396,Savannah Sugar Refining,66.6
397,1955,397,Bucyrus-Erie,66.0
398,1955,398,Industrial Rayon,65.9
399,1955,399,Handy & Harman,65.8
400,1955,400,AM International,65.4
401,1955,401,Richardson-Vicks,65.4
402,1955,402,US Pharmaceuticals,65.4
403,1955,403,Interlake Iron,65.2
404,1955,404,Solar Aircraft,65.1
405,1955,405,Tennessee Corp.,64.9
406,1955,406,Crowell-Collier Publishing,64.8
407,1955,407,American Zinc. Lead & Smelting,64.5
408,1955,408,Georgia-Pacific,64.3
409,1955,409,International Silver,64.1
410,1955,410,Niles-Bement-Pond,63.6
411,1955,411,Stromberg-Carlson,63.5
412,1955,412,Houdaille Industries,63.1
413,1955,413,Magnavox,63.0
414,1955,414,Joy Technologies,62.8
415,1955,415,Joslyn Manufacturing & Supply,62.7
416,1955,416,Kroehler Manufacturing,62.7
417,1955,417,Joy Global,62.5
418,1955,418,Daystrom,62.5
419,1955,419,Bristol-Myers Squibb,62.4
420,1955,420,Celotex,62.3
421,1955,421,Lees (James) & Sons,62.2
422,1955,422,Calumet & Hecia,61.4
423,1955,423,Burrus Mills,61.0
424,1955,424,Bibb Manufacturing,60.8
425,1955,425,U.S. Industries,60.6
426,1955,426,Cuban Atlantic Sugar,60.5
427,1955,427,Dole,60.1
428,1955,428,Elgin National Watch,60.1
429,1955,429,Lehigh Portland Cement,59.7
430,1955,430,American Enka,59.7
431,1955,431,Ekco Products,59.7
432,1955,432,LTV,59.2
433,1955,433,Clevite,59.2
434,1955,434,Cummins,59.2
435,1955,435,Ideal Basic Industries,59.0
436,1955,436,Robertshaw Controls,58.2
437,1955,437,American Forest Products,58.2
438,1955,438,Pennwalt Corp,58.1
439,1955,439,United Engineering & Foundry,58.1
440,1955,440,Atlas Powder,57.6
441,1955,441,Harbison-Walker Refractories,57.5
442,1955,442,Lily-Tulip Cup,57.4
443,1955,443,Freeport Sulphur,57.3
444,1955,444,Gould-National Batteries,57.2
445,1955,445,Mohasco,57.0
446,1955,446,Times Mirror,56.7
447,1955,447,National Automotive Fibers,56.7
448,1955,448,Stanley Home Products,56.6
449,1955,449,Continental Foundry & Machine,56.6
450,1955,450,Dayco,55.9
451,1955,451,Square D,55.9
452,1955,452,Publicker Industries,55.5
453,1955,453,Armstrong Rubber,55.4
454,1955,454,Godchaux Sugars,55.3
455,1955,455,Avon Products,55.1
456,1955,456,Carey (Philip) Manufacturing,54.8
457,1955,457,Anderson-Prichard Oil,54.7
458,1955,458,Midland-Ross,54.6
459,1955,459,P.R. Mallory,54.6
460,1955,460,Consolidated Papers,54.4
461,1955,461,Oxford Paper,54.2
462,1955,462,Lear,54.2
463,1955,463,Cutler-Hammer,54.2
464,1955,464,Sutherland Paper,54.0
465,1955,465,Gilfillan Bros.,54.0
466,1955,466,USM,53.9
467,1955,467,Bates Manufacturing,53.9
468,1955,468,Motor Wheel,53.9
469,1955,469,Reeves Brothers,53.9
470,1955,470,Congoleum,53.8
471,1955,471,Harshaw Chemical,53.6
472,1955,472,Young (L.A.) Spring & Wire,53.5
473,1955,473,Barium Steel,53.5
474,1955,474,Arvin Industries,53.4
475,1955,475,Climax Molybdenum,53.2
476,1955,476,Erwin Mills,53.1
477,1955,477,S & W Fine Foods,53.1
478,1955,478,Columbian Carbon,52.9
479,1955,479,South Penn Oil,52.6
480,1955,480,National Homes,52.5
481,1955,481,Crown Central,52.4
482,1955,482,Udylite,51.9
483,1955,483,Bird & Son,51.7
484,1955,484,Detroit Steel,51.7
485,1955,485,Mullins Manufacturing,51.7
486,1955,486,Commercial Solvents,51.6
487,1955,487,Fuller Brush,51.5
488,1955,488,Liquid Carbonic,51.4
489,1955,489,Consolidated Cigar,51.0
490,1955,490,Langendorf United Bakeries,50.7
491,1955,491,Truax-Traer Coal,50.5
492,1955,492,Mansfield Tire & Rubber,50.4
493,1955,493,Blue Bell,50.3
494,1955,494,Warner-Lambert,50.3
495,1955,495,Trane,50.2
496,1955,496,Signal Oil Gas,50.2
497,1955,497,Bullard,50.2
498,1955,498,Cuban-American Sugar,50.1
499,1955,499,Goodall-Sanford,49.7
500,1955,500,Copperweld Steel,49.7
1,1956,1,General Motors,12443.3
2,1956,2,Exxon Mobil,6272.4
501,1956,3,Ford Motor,5594.0
3,1956,4,U.S. Steel,4097.7
6,1956,5,Chrysler,3466.2
4,1956,6,General Electric,3095.4
5,1956,7,Esmark,2404.1
12,1956,8,Bethlehem Steel,2096.6
7,1956,9,Armour,1967.7
10,1956,10,DuPont,1909.2
8,1956,11,Gulf Oil,1895.7
15,1956,12,AT&T Technologies,1853.3
9,1956,13,Mobil,1839.3
11,1956,14,Amoco,1781.3
14,1956,15,Texaco,1767.3
16,1956,16,Shell Oil,1484.1
13,1956,17,CBS,1441.0
19,1956,18,Goodyear Tire & Rubber,1372.2
18,1956,19,ChevronTexaco,1277.8
17,1956,20,Kraft,1260.2
28,1956,21,Republic Steel,1188.6
24,1956,22,Union Carbide,1187.2
22,1956,23,Navistar International,1165.8
25,1956,24,Firestone Tire & Rubber,1114.9
21,1956,25,Sinclair Oil,1110.1
23,1956,26,RCA,1055.3
27,1956,27,Procter & Gamble,965.8
32,1956,28,Uniroyal,925.5
29,1956,29,Citgo Petroleum,923.2
30,1956,30,ConocoPhillips,910.8
26,1956,31,Douglas Aircraft,867.5
20,1956,32,Boeing,853.8
35,1956,33,Alcoa,845.0
31,1956,34,General Foods,824.8
42,1956,35,Rockwell Automation,816.7
33,1956,36,Borden Chemical,810.1
36,1956,37,International Paper,796.4
44,1956,38,Goodrich,755.0
40,1956,39,American Can,714.8
43,1956,40,Eastman Kodak,714.4
39,1956,41,United Technologies,697.9
55,1956,42,Jones & Laughlin Steel,696.5
50,1956,43,ARMCO,692.7
66,1956,44,Sperry,688.0
41,1956,45,General Dynamics,687.3
34,1956,46,Lockheed Martin,673.6
45,1956,47,Continental Group,666.3
38,1956,48,Sunoco,660.3
52,1956,49,AMAX,660.2
49,1956,50,Ryerson Tull,659.7
37,1956,51,Wilson,650.5
62,1956,52,Anaconda,636.2
51,1956,53,Honeywell Intl.,628.5
57,1956,54,National Intergroup,622.0
70,1956,55,Youngstown Sheet & Tube,617.4
48,1956,56,Fortune Brands,585.9
68,1956,57,PPG Industries,582.0
46,1956,58,Bendix,567.2
61,1956,59,Intl. Business Machines,563.5
59,1956,60,Olin,560.5
81,1956,61,BorgWarner,552.2
71,1956,62,Kennecott,548.3
94,1956,63,Republic Aviation,547.4
60,1956,64,Asarco,540.5
54,1956,65,Allis-Chalmers,535.1
72,1956,66,NL Industries,533.7
53,1956,67,Conoco,528.9
75,1956,68,Caterpillar,523.9
87,1956,69,Monsanto,522.3
86,1956,70,Burlington Industries Equity,515.2
56,1956,71,General Mills,513.7
47,1956,72,Atlantic Richfield,513.0
58,1956,73,Curtiss-Wright,508.7
80,1956,74,Pure Oil,485.1
141,1956,75,Studebaker,480.0
63,1956,76,Tidewater Oil,478.8
69,1956,77,Dow Chemical,470.7
67,1956,78,Nabisco Group Holdings,466.3
78,1956,79,American Cyanamid,451.1
502,1956,80,ITT Industries,448.4
76,1956,81,American Motors,441.1
74,1956,82,Sealed Air,427.1
103,1956,83,Crown Zellerbach,414.1
73,1956,84,Standard Brands,400.7
82,1956,85,Nabisco Brands,389.6
122,1956,86,Foremost Dairies,388.1
77,1956,87,Ralston Purina,385.5
97,1956,88,Reynolds Metals,384.9
88,1956,89,Campbell Soup,377.6
85,1956,90,Philco,373.4
89,1956,91,Owens-Illinois,370.3
503,1956,92,Merritt-Chapman & Scott,360.3
84,1956,93,Unocal,359.5
91,1956,94,Singer,354.1
108,1956,95,Phelps Dodge,353.4
101,1956,96,United Merchants & Mfrs.,341.8
90,1956,97,Pillsbury,341.1
99,1956,98,BP America,339.7
100,1956,99,American Standard,339.6
104,1956,100,Deere,339.6
92,1956,101,Hormel Foods,336.6
98,1956,102,Morrell (John),336.1
93,1956,103,Hygrade Food Products,334.3
102,1956,104,Crane,331.4
79,1956,105,Pullman,330.4
95,1956,106,Carnation,329.2
96,1956,107,Amstar,325.9
107,1956,108,J.P. Stevens,321.1
114,1956,109,Weyerhaeuser,316.7
125,1956,110,Otis Elevator,316.6
64,1956,111,Cudahy,308.1
106,1956,112,Sylvania Electric Products,307.4
116,1956,113,NCR,301.2
83,1956,114,Avco,299.3
504,1956,115,Sunray DX Oil,298.4
105,1956,116,Liggett Group,296.1
162,1956,117,Electric Autolite,296.0
147,1956,118,GenCorp,295.7
164,1956,119,Bestfoods,290.2
109,1956,120,Beatrice,287.4
112,1956,121,TRW,286.2
115,1956,122,Colgate-Palmolive,285.6
117,1956,123,Manville,284.7
183,1956,124,Northrop Grumman,283.4
131,1956,125,3M,281.9
152,1956,126,Aeroquip-Vickers,281.5
185,1956,127,Whirlpool,280.4
113,1956,128,Quaker Oats,276.4
127,1956,129,Rockwell-Standard,271.9
111,1956,130,Martin Marietta,271.9
136,1956,131,Kaisertech,268.1
138,1956,132,FMC,264.6
123,1956,133,Furniture Brands Intl.,262.4
149,1956,134,McNeill & Libby,261.9
130,1956,135,National Supply,259.8
145,1956,136,American Viscose,259.4
146,1956,137,USG,258.7
119,1956,138,CF&I Steel,257.5
121,1956,139,Marathon Oil,257.2
161,1956,140,St. Regis,257.1
184,1956,141,Allegheny International,255.2
110,1956,142,Rath Packing,254.0
126,1956,143,Coca-Cola,252.9
144,1956,144,Armstrong Holdings,249.4
167,1956,145,Wheeling Pittsburgh,246.7
133,1956,146,Scott Paper,246.7
134,1956,147,Ashland,245.9
132,1956,148,Honeywell,244.5
140,1956,149,Richfield Oil,244.4
150,1956,150,Continental Baking,244.0
165,1956,151,Revere Copper & Brass,242.7
195,1956,152,Crucible Steel,237.7
120,1956,153,A.O. Smith,237.1
157,1956,154,Wyeth,234.5
142,1956,155,H.J. Heinz,234.2
135,1956,156,Del Monte Foods,233.8
118,1956,157,Babcock & Wilcox,233.3
153,1956,158,Skelly Oil,231.6
128,1956,159,J.E. Seagram,228.9
168,1956,160,Koppers,228.5
172,1956,161,M. Lowenstein,228.2
156,1956,162,Motorola,226.7
169,1956,163,Hercules,226.7
177,1956,164,Kimberly-Clark,224.0
211,1956,165,Fruehauf,223.5
159,1956,166,Johnson & Johnson,222.9
155,1956,167,Archer Daniels Midland,221.0
139,1956,168,Oscar Mayer,220.2
189,1956,169,Eaton,218.1
187,1956,170,Unisys,217.8
154,1956,171,Glidden,217.0
171,1956,172,Container Corp. of America,215.6
129,1956,173,Grumman,213.4
163,1956,174,Arden Farms,212.3
166,1956,175,Hearst Consolidated Publications,207.6
196,1956,176,Brink's,205.8
173,1956,177,Bell Intercontinental,204.4
143,1956,178,Admiral,202.4
148,1956,179,Anheuser-Busch,201.7
160,1956,180,Quantum Chemical,201.6
176,1956,181,Pet,200.2
228,1956,182,Timken,196.1
258,1956,183,Mack Trucks,194.3
175,1956,184,Cannon Mills,193.7
124,1956,185,ACF Industries,190.8
202,1956,186,Carrier,190.0
292,1956,187,Textron,189.2
200,1956,188,Dana,186.6
178,1956,189,Raytheon,182.3
186,1956,190,Kellogg,182.1
213,1956,191,White Motor,179.9
181,1956,192,Curtis Publishing,179.8
210,1956,193,Celanese,177.5
194,1956,194,Gillette,176.9
247,1956,195,Pittsburgh Steel,176.7
190,1956,196,Westvaco,176.2
256,1956,197,Westinghouse Air Brake,172.5
294,1956,198,Sharon Steel,171.2
208,1956,199,Consolidation Coal,168.6
205,1956,200,Genesco,167.9
188,1956,201,Walter Industries,167.4
191,1956,202,Sterling Drug,166.9
180,1956,203,Wesson Oil & Snowdrift,166.7
257,1956,204,American-Marietta,165.3
237,1956,205,Dresser Industries,164.8
151,1956,206,Kaiser Industries,164.0
215,1956,207,Pfizer,163.8
220,1956,208,Cone Mills,163.6
203,1956,209,Grinnell,163.2
234,1956,210,Rohm & Haas,161.6
227,1956,211,Owens Corning,161.3
193,1956,212,Rheem Manufacturing,160.6
229,1956,213,Norton,160.5
199,1956,214,Baldwin-Lima-Hamilton,160.3
262,1956,215,Gair (Robert),160.2
223,1956,216,Brown Shoe,159.5
212,1956,217,Merck,157.9
182,1956,218,Schenley Industries,157.8
209,1956,219,Corning,157.7
218,1956,220,Altria Group,157.0
222,1956,221,Simmons,156.3
252,1956,222,McDonnell Douglas,154.6
221,1956,223,Fairchild Engine & Airplane,154.4
179,1956,224,Dart Industries,153.5
224,1956,225,Zenith Electronics,152.9
197,1956,226,Hershey Foods,151.6
217,1956,227,Staley Continental,151.5
245,1956,228,Eastern Gas & Fuel Associates,151.1
246,1956,229,Champion International,150.6
267,1956,230,Mead,150.5
251,1956,231,BOC,149.2
279,1956,232,Bridgeport Brass,148.6
241,1956,233,National Gypsum,148.2
273,1956,234,Abex,147.1
206,1956,235,Chance Vought,147.1
270,1956,236,Scovill,146.9
174,1956,237,Continental Motors,145.5
